Category	Subcategory	Subsystem	Role	Features
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	Phosphonates transport ATP-binding protein PhnK	fig|6666666.5373.peg.6947
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	ATP-binding protein PhnN	fig|6666666.5373.peg.6943
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	PhnH protein	fig|6666666.5373.peg.203
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	Protein RcsF	fig|6666666.5373.peg.6476
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	PhnB protein	fig|6666666.5373.peg.7420
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	fig|6666666.5373.peg.6944, fig|6666666.5373.peg.6945
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	PhnJ protein	fig|6666666.5373.peg.1926, fig|6666666.5373.peg.1925
Phosphorus Metabolism	Phosphorus Metabolism - no subcategory	Alkylphosphonate utilization	Phosphonates transport ATP-binding protein PhnL	fig|6666666.5373.peg.6946
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	fig|6666666.5373.peg.7646, fig|6666666.5373.peg.7647
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Hypothetical protein YaeR with similarity to glyoxylase family	fig|6666666.5373.peg.4280, fig|6666666.5373.peg.4281
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Aldehyde dehydrogenase B (EC 1.2.1.22)	fig|6666666.5373.peg.2352, fig|6666666.5373.peg.2353, fig|6666666.5373.peg.2350
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Lactoylglutathione lyase (EC 4.4.1.5)	fig|6666666.5373.peg.5622
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Methylglyoxal synthase (EC 4.2.3.3)	fig|6666666.5373.peg.4259
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	fig|6666666.5373.peg.7645, fig|6666666.5373.peg.7644
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism	Aldehyde dehydrogenase A (EC 1.2.1.22)	fig|6666666.5373.peg.3421, fig|6666666.5373.peg.3423, fig|6666666.5373.peg.3422, fig|6666666.5373.peg.3424
Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin oxidoreductase	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	fig|6666666.5373.peg.5143, fig|6666666.5373.peg.5142, fig|6666666.5373.peg.5144
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Malate dehydrogenase (EC 1.1.1.37)	fig|6666666.5373.peg.5519, fig|6666666.5373.peg.1450, fig|6666666.5373.peg.1449
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Malate synthase G (EC 2.3.3.9)	fig|6666666.5373.peg.1345, fig|6666666.5373.peg.1344
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Malate synthase (EC 2.3.3.9)	fig|6666666.5373.peg.745
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)	fig|6666666.5373.peg.942, fig|6666666.5373.peg.6863
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Citrate synthase (si) (EC 2.3.3.1)	fig|6666666.5373.peg.647, fig|6666666.5373.peg.646, fig|6666666.5373.peg.648
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Aconitate hydratase 2 (EC 4.2.1.3)	fig|6666666.5373.peg.5983, fig|6666666.5373.peg.5984
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Isocitrate lyase (EC 4.1.3.1)	fig|6666666.5373.peg.746, fig|6666666.5373.peg.941
Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass	Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	fig|6666666.5373.peg.7720, fig|6666666.5373.peg.7718, fig|6666666.5373.peg.7719
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	D-serine/D-alanine/glycine transporter	fig|6666666.5373.peg.3775, fig|6666666.5373.peg.3776
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Alanine racemase, biosynthetic (EC 5.1.1.1)	fig|6666666.5373.peg.5601
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	fig|6666666.5373.peg.4037, fig|6666666.5373.peg.4036
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Valine--pyruvate aminotransferase (EC 2.6.1.66)	fig|6666666.5373.peg.4768
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	fig|6666666.5373.peg.5535, fig|6666666.5373.peg.5534
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Serine transporter	fig|6666666.5373.peg.1871, fig|6666666.5373.peg.4758, fig|6666666.5373.peg.4759, fig|6666666.5373.peg.3780
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Predicted L-serine dehydratase (EC 4.3.1.17) TdcG	fig|6666666.5373.peg.4484, fig|6666666.5373.peg.4483
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	Alanine racemase, catabolic (EC 5.1.1.1)	fig|6666666.5373.peg.5532, fig|6666666.5373.peg.5533, fig|6666666.5373.peg.5531
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	D-serine dehydratase (EC 4.3.1.18)	fig|6666666.5373.peg.5920, fig|6666666.5373.peg.5921
Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions	L-serine dehydratase (EC 4.3.1.17)	fig|6666666.5373.peg.965
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetaldehyde dehydrogenase (EC 1.2.1.10)	fig|6666666.5373.peg.258, fig|6666666.5373.peg.1698, fig|6666666.5373.peg.259
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetate permease ActP (cation/acetate symporter)	fig|6666666.5373.peg.933, fig|6666666.5373.peg.934, fig|6666666.5373.peg.1038
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Pyruvate oxidase [ubiquinone, cytochrome] (EC 1.2.2.2)	fig|6666666.5373.peg.2619, fig|6666666.5373.peg.2618, fig|6666666.5373.peg.2617
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	fig|6666666.5373.peg.6870
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	fig|6666666.5373.peg.1040, fig|6666666.5373.peg.1041
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Protein acetyltransferase	fig|6666666.5373.peg.2416, fig|6666666.5373.peg.2414, fig|6666666.5373.peg.2415, fig|6666666.5373.peg.2413
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	fig|6666666.5373.peg.5988
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	NAD-dependent protein deacetylase of SIR2 family	fig|6666666.5373.peg.583
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	fig|6666666.5373.peg.7292, fig|6666666.5373.peg.7291
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Putative membrane protein, clustering with ActP	fig|6666666.5373.peg.1039
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	fig|6666666.5373.peg.1289
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Phosphate acetyltransferase (EC 2.3.1.8)	fig|6666666.5373.peg.3147, fig|6666666.5373.peg.3148
Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	Acetate kinase (EC 2.7.2.1)	fig|6666666.5373.peg.1073, fig|6666666.5373.peg.1074, fig|6666666.5373.peg.3149, fig|6666666.5373.peg.1072
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	DHA-specific EI component	fig|6666666.5373.peg.369
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Triosephosphate isomerase (EC 5.3.1.1)	fig|6666666.5373.peg.1880
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM	fig|6666666.5373.peg.369
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Sorbitol dehydrogenase (EC 1.1.1.14)	fig|6666666.5373.peg.5821
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	fig|6666666.5373.peg.3554, fig|6666666.5373.peg.420
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Ribose 5-phosphate isomerase B (EC 5.3.1.6)	fig|6666666.5373.peg.2285
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), dihydroxyacetone binding subunit DhaK	fig|6666666.5373.peg.3042, fig|6666666.5373.peg.3043
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Glycerol kinase (EC 2.7.1.30)	fig|6666666.5373.peg.7464
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	DHA-specific IIA component	fig|6666666.5373.peg.369
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), ADP-binding subunit DhaL	fig|6666666.5373.peg.3041
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Phosphoenolpyruvate-dihydroxyacetone phosphotransferase operon regulatory protein DhaR	fig|6666666.5373.peg.3044
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	Glycerol uptake facilitator protein	fig|6666666.5373.peg.7462, fig|6666666.5373.peg.7463
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases	DHA-specific phosphocarrier protein HPr	fig|6666666.5373.peg.369
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Gluconate utilization system Gnt-I transcriptional repressor	fig|6666666.5373.peg.7416
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Glucose dehydrogenase, PQQ-dependent (EC 1.1.5.2)	fig|6666666.5373.peg.2533, fig|6666666.5373.peg.2530, fig|6666666.5373.peg.2532, fig|6666666.5373.peg.2531
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Mannonate dehydratase (EC 4.2.1.8)	fig|6666666.5373.peg.6572, fig|6666666.5373.peg.6571
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Aldose 1-epimerase (EC 5.1.3.3)	fig|6666666.5373.peg.1505
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Altronate hydrolase (EC 4.2.1.7)	fig|6666666.5373.peg.6307
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	fig|6666666.5373.peg.4962, fig|6666666.5373.peg.1199
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	6-phosphogluconolactonase (EC 3.1.1.31)	fig|6666666.5373.peg.1753
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Phosphoglycerate mutase (EC 5.4.2.1)	fig|6666666.5373.peg.4832, fig|6666666.5373.peg.5784, fig|6666666.5373.peg.5785
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Enolase (EC 4.2.1.11)	fig|6666666.5373.peg.703, fig|6666666.5373.peg.976
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	fig|6666666.5373.peg.3425, fig|6666666.5373.peg.3426, fig|6666666.5373.peg.4596
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Phosphoglycerate kinase (EC 2.7.2.3)	fig|6666666.5373.peg.2777, fig|6666666.5373.peg.4170
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	fig|6666666.5373.peg.4944, fig|6666666.5373.peg.4943
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	fig|6666666.5373.peg.7594, fig|6666666.5373.peg.7595
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Glucose-1-phosphatase (EC 3.1.3.10)	fig|6666666.5373.peg.1638
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	fig|6666666.5373.peg.5046, fig|6666666.5373.peg.5047, fig|6666666.5373.peg.5045
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	D-mannonate oxidoreductase (EC 1.1.1.57)	fig|6666666.5373.peg.1488, fig|6666666.5373.peg.1487, fig|6666666.5373.peg.6570
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Gluconokinase (EC 2.7.1.12)	fig|6666666.5373.peg.4348, fig|6666666.5373.peg.3291, fig|6666666.5373.peg.4349
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Uronate isomerase (EC 5.3.1.12)	fig|6666666.5373.peg.6309, fig|6666666.5373.peg.6308
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Glucokinase (EC 2.7.1.2)	fig|6666666.5373.peg.5480
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Pyruvate kinase (EC 2.7.1.40)	fig|6666666.5373.peg.5052, fig|6666666.5373.peg.3770, fig|6666666.5373.peg.3769, fig|6666666.5373.peg.5051
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway	Phosphogluconate dehydratase (EC 4.2.1.12)	fig|6666666.5373.peg.5044, fig|6666666.5373.peg.5043, fig|6666666.5373.peg.5042
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	fig|6666666.5373.peg.1875
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Triosephosphate isomerase (EC 5.3.1.1)	fig|6666666.5373.peg.1880
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	fig|6666666.5373.peg.3531
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	fig|6666666.5373.peg.866, fig|6666666.5373.peg.867
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Phosphoglycerate mutase (EC 5.4.2.1)	fig|6666666.5373.peg.4832, fig|6666666.5373.peg.5784, fig|6666666.5373.peg.5785
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate synthase (EC 2.7.9.2)	fig|6666666.5373.peg.4904, fig|6666666.5373.peg.4903, fig|6666666.5373.peg.4902
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Enolase (EC 4.2.1.11)	fig|6666666.5373.peg.703, fig|6666666.5373.peg.976
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Phosphoglycerate kinase (EC 2.7.2.3)	fig|6666666.5373.peg.2777, fig|6666666.5373.peg.4170
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	fig|6666666.5373.peg.3425, fig|6666666.5373.peg.3426, fig|6666666.5373.peg.4596
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)	fig|6666666.5373.peg.7466, fig|6666666.5373.peg.7465
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	fig|6666666.5373.peg.7594, fig|6666666.5373.peg.7595
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	fig|6666666.5373.peg.5046, fig|6666666.5373.peg.5047, fig|6666666.5373.peg.5045
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Glucose-6-phosphate isomerase (EC 5.3.1.9)	fig|6666666.5373.peg.3501
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	fig|6666666.5373.peg.5451
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	6-phosphofructokinase class II (EC 2.7.1.11)	fig|6666666.5373.peg.6063
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Glucokinase (EC 2.7.1.2)	fig|6666666.5373.peg.5480
Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	fig|6666666.5373.peg.5052, fig|6666666.5373.peg.3770, fig|6666666.5373.peg.3769, fig|6666666.5373.peg.5051
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	fig|6666666.5373.peg.4037, fig|6666666.5373.peg.4036
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Peptide deformylase (EC 3.5.1.88)	fig|6666666.5373.peg.7472
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	fig|6666666.5373.peg.6870
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	fig|6666666.5373.peg.5988
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	fig|6666666.5373.peg.6121, fig|6666666.5373.peg.6122
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	fig|6666666.5373.peg.2924, fig|6666666.5373.peg.2925
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase	fig|6666666.5373.peg.2016
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	fig|6666666.5373.peg.1289
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	fig|6666666.5373.peg.5988
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	fig|6666666.5373.peg.2926
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	fig|6666666.5373.peg.2922, fig|6666666.5373.peg.2923
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Enolase (EC 4.2.1.11)	fig|6666666.5373.peg.703, fig|6666666.5373.peg.976
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Transcriptional repressor for pyruvate dehydrogenase complex	fig|6666666.5373.peg.6868
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Lipoate-protein ligase A	fig|6666666.5373.peg.536, fig|6666666.5373.peg.533, fig|6666666.5373.peg.535, fig|6666666.5373.peg.532, fig|6666666.5373.peg.534
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes	Cytosol aminopeptidase PepA (EC 3.4.11.1)	fig|6666666.5373.peg.7143
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Citrate lyase gamma chain, acyl carrier protein (EC 4.1.3.6)	fig|6666666.5373.peg.4651
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Malate dehydrogenase (EC 1.1.1.37)	fig|6666666.5373.peg.5519, fig|6666666.5373.peg.1450, fig|6666666.5373.peg.1449
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	fig|6666666.5373.peg.1411
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	fig|6666666.5373.peg.2230, fig|6666666.5373.peg.2229, fig|6666666.5373.peg.1405, fig|6666666.5373.peg.5933
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	fig|6666666.5373.peg.5934, fig|6666666.5373.peg.1985, fig|6666666.5373.peg.2339
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Fumarate hydratase class I, anaerobic (EC 4.2.1.2)	fig|6666666.5373.peg.457
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Citrate synthase (si) (EC 2.3.3.1)	fig|6666666.5373.peg.647, fig|6666666.5373.peg.646, fig|6666666.5373.peg.648
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Aconitate hydratase 2 (EC 4.2.1.3)	fig|6666666.5373.peg.5983, fig|6666666.5373.peg.5984
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Transcriptional regulator of succinyl CoA synthetase operon	fig|6666666.5373.peg.6123, fig|6666666.5373.peg.6124
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	fig|6666666.5373.peg.5988
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Fumarate hydratase class II (EC 4.2.1.2)	fig|6666666.5373.peg.1557, fig|6666666.5373.peg.1867
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	fig|6666666.5373.peg.1323
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	fig|6666666.5373.peg.5988
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	fig|6666666.5373.peg.6121, fig|6666666.5373.peg.6122
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	fig|6666666.5373.peg.2924, fig|6666666.5373.peg.2925
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Malate:quinone oxidoreductase (EC 1.1.99.16)	fig|6666666.5373.peg.7440, fig|6666666.5373.peg.7439, fig|6666666.5373.peg.7442, fig|6666666.5373.peg.7441
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Fumarate hydratase class I, aerobic (EC 4.2.1.2)	fig|6666666.5373.peg.1869, fig|6666666.5373.peg.1868
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22)	fig|6666666.5373.peg.4650, fig|6666666.5373.peg.4649
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	fig|6666666.5373.peg.2926
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	fig|6666666.5373.peg.2922, fig|6666666.5373.peg.2923
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Citrate lyase alpha chain (EC 4.1.3.6)	fig|6666666.5373.peg.4654, fig|6666666.5373.peg.4656, fig|6666666.5373.peg.4655
Carbohydrates	Central carbohydrate metabolism	TCA Cycle	Citrate lyase beta chain (EC 4.1.3.6)	fig|6666666.5373.peg.4652, fig|6666666.5373.peg.4653
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Transketolase (EC 2.2.1.1)	fig|6666666.5373.peg.4863, fig|6666666.5373.peg.4860, fig|6666666.5373.peg.4862, fig|6666666.5373.peg.2145, fig|6666666.5373.peg.5728, fig|6666666.5373.peg.4861, fig|6666666.5373.peg.2144
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	fig|6666666.5373.peg.4972, fig|6666666.5373.peg.1092
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Ribose 5-phosphate isomerase B (EC 5.3.1.6)	fig|6666666.5373.peg.2285
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Ribose 5-phosphate isomerase A (EC 5.3.1.6)	fig|6666666.5373.peg.3554, fig|6666666.5373.peg.420
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	fig|6666666.5373.peg.2788, fig|6666666.5373.peg.2789
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	fig|6666666.5373.peg.5046, fig|6666666.5373.peg.5047, fig|6666666.5373.peg.5045
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	fig|6666666.5373.peg.4962, fig|6666666.5373.peg.1199
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	6-phosphogluconolactonase (EC 3.1.1.31)	fig|6666666.5373.peg.1753
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Transaldolase (EC 2.2.1.2)	fig|6666666.5373.peg.3239, fig|6666666.5373.peg.1122, fig|6666666.5373.peg.913, fig|6666666.5373.peg.2069, fig|6666666.5373.peg.1121
Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway	Phosphogluconate dehydratase (EC 4.2.1.12)	fig|6666666.5373.peg.5044, fig|6666666.5373.peg.5043, fig|6666666.5373.peg.5042
